,OID_,Elevation,Latitude,Longitude
770,786,281.0,-45.875,168.425
771,256,162.0,-45.975,168.475
772,257,458.0,-45.975,168.525
773,258,593.0,-45.975,168.575
774,511,268.0,-45.925,168.475
775,512,478.0,-45.925,168.525
776,513,157.0,-45.925,168.575
777,788,385.0,-45.875,168.475
778,790,150.0,-45.875,168.525
779,792,156.0,-45.875,168.575
780,259,362.0,-45.975,168.625
781,260,231.0,-45.975,168.675
782,261,144.0,-45.975,168.725
783,262,120.0,-45.975,168.775
784,514,139.0,-45.925,168.625
785,515,180.0,-45.925,168.675
786,516,143.0,-45.925,168.725
787,517,119.0,-45.925,168.775
788,794,180.0,-45.875,168.625
789,796,160.0,-45.875,168.675
790,798,137.0,-45.875,168.725
791,800,131.0,-45.875,168.775
792,150,141.0,-45.975,168.925
793,158,154.0,-45.975,168.975
794,263,98.0,-45.975,168.825
795,264,118.0,-45.975,168.875
796,518,161.0,-45.925,168.825
797,519,140.0,-45.925,168.875
798,520,221.0,-45.925,168.925
799,521,155.0,-45.925,168.975
800,802,164.0,-45.875,168.825
801,804,159.0,-45.875,168.875
802,806,316.0,-45.875,168.925
803,808,230.0,-45.875,168.975
804,167,118.0,-45.975,169.025
805,176,179.0,-45.975,169.075
806,185,142.0,-45.975,169.125
807,522,151.0,-45.925,169.025
808,523,220.0,-45.925,169.075
809,524,177.0,-45.925,169.125
810,810,317.0,-45.875,169.025
811,812,360.0,-45.875,169.075
812,814,235.0,-45.875,169.125
813,273,186.0,-45.975,169.175
814,277,120.0,-45.975,169.225
815,284,243.0,-45.975,169.275
816,292,433.0,-45.975,169.325
817,525,160.0,-45.925,169.175
