Name,Agent Number,Network Number,Latitude,Longitude,Height,Posn_Precision,Observing Authority
Waitoa 2,1577,B75663,-37.595,175.63,18,T,N/A
Kaweka Forest,2970,D96444,-39.434,176.466,416,G,N/A
Mt Hutt Skifield,4677,H31451,-43.491,171.537,1600,G,N/A
Hororata Substation,4704,H31593,-43.547,171.981,192,G,N/A
Codfish Island,5745,I67761,-46.767,167.633,2,W,N/A
"Auckland, Whenuapai Aero",1410,A64761,-36.793,174.624,26,G,Metservice
Port Ohope,1703,B77911,-37.986,177.112,9,G,N/A
"New Plymouth, Brooklands Park",2278,C94003,-39.071,174.082,55,G,N/A
Tiri Tiri Lighthouse,1401,A64691,-36.6056,174.8977,76,H,N/A
"Auckland, Henderson North",1423,A64863,-36.85539,174.62383,7,H,N/A
"Waiheke Island, Awaroa Valley",1496,A65812,-36.80698,175.11454,34,H,N/A
Paeroa Aws,1547,B75362,-37.37065,175.68372,19,H,Metservice
"Mt Somers, Somer Downs",18394,H31641,-43.674,171.413,372,T,N/A
Whatawhata 2 Ews,25162,C75701,-37.78832,175.06906,118,H,N/A
"Moawhango, Pokaka",25760,E95685,-39.60811,175.87398,462,H,N/A
"Te Wharau, Brackenfield",31857,D15182,-41.17278,175.80063,292,H,N/A
Taihape Rec,3671,E95683,-39.683,175.802,433,T,N/A
"Pelorus Sd, Crail Bay",4232,G13195,-41.10308,173.96406,13,H,N/A
Grassmere Salt Works,4420,G14711,-41.729,174.145,2,G,N/A
Boyle River Lodge,4455,G22532,-42.519,172.386,600,G,N/A
Peel Forest,4772,H31927,-43.90656,171.25902,286,H,N/A
Christchurch Gardens,4858,H32561,-43.531,172.619,7,G,N/A
Orari Estate,5061,H41131,-44.127,171.308,81,G,N/A
Palmerston,5323,I50471,-45.47554,170.71444,21,H,N/A
Ophir 2,5544,I59161,-45.10611,169.61056,305,H,N/A
Alexandra,5578,I59236,-45.246,169.38956,150,H,N/A
Stewart Is,5836,I68913,-46.90051,168.12851,3,H,N/A
Tautuku,5904,I69544,-46.57617,169.44386,25,H,N/A
Hokitika Aero,3909,F20793,-42.712,170.984,39,G,N/A
Hokitika Aero Aws,3910,F20794,-42.71296,170.98437,40,H,Metservice
Hokitika Ews,41322,F20796,-42.71228,170.98428,39,H,Niwa
Molesworth,4461,G23021,-42.088,173.258,890,T,N/A
Gisborne Aero,2807,D87692,-38.661,177.986,4,G,N/A
Waiotemarama,1138,A53541,-35.531,173.426,229,G,N/A
"Gisborne, Manutuke",2805,D87683,-38.68,177.887,9,G,N/A
Queenstown Aero,5450,I58074,-45.024,168.735,349,G,N/A
Tuatapere,5738,I67165,-46.129,167.674,27,G,N/A
Port Albert,7557,A64242,-36.279,174.443,40,T,N/A
Waipoua Visitor Centre,1155,A53651,-35.653,173.558,88,G,N/A
"Lower Hutt,Gracefield",3418,E14290,-41.236,174.919,34,G,N/A
Queensbury Ews,5234,I49822,-44.873,169.3,277,G,N/A
Bendigo 2,5243,I49932,-44.93352,169.30377,200,H,N/A
Northburn,5528,I59023,-45.00785,169.23298,210,H,N/A
Rotorua Aero 2,1768,B86131,-38.11065,176.31756,281,H,N/A
Hunua Edl,2032,C75003,-37.082,175.071,122,G,N/A
New Plymouth Aero,2282,C94011,-39.012,174.181,27,G,N/A
Twizel Substation,4996,H40212,-44.277,170.098,451,G,N/A
Dunedin Aero,5397,I50921,-45.929,170.196,1,G,N/A
Maramarua Forest,2075,C75321,-37.306,175.253,38,G,N/A
Mt Bruce Res,2414,D05765,-40.723,175.64,305,G,N/A
Ngaumu Forest,2614,D15081,-41.04,175.885,244,G,N/A
Aniwaniwa,2815,D87713,-38.748,177.164,671,G,N/A
Westport Aero,3810,F11752,-41.74,171.578,2,G,N/A
Waingawa,2473,D05964,-40.98,175.611,114,G,N/A
Wairoa Hospital,3124,D97043,-39.045,177.413,20,G,N/A
"Lower Hutt,Avalon",3369,E14195,-41.191,174.941,15,G,N/A
Kaikoura Weather Stn,4507,G23471,-42.421,173.691,108,G,Metservice
Balmoral Forest,4532,H22871,-42.866,172.749,198,G,N/A
Auckland City,1434,A64878,-36.861,174.751,75,G,Metservice
Levin M.A.F.,3277,E05622,-40.65,175.269,46,G,N/A
Ashburton,4780,H31973,-43.90928,171.74409,97,H,N/A
Te Kauwhata M.A.F.,2081,C75412,-37.411,175.142,32,G,N/A
Highbank Power Stn,4698,H31572,-43.575,171.736,230,G,N/A
Thames 2,1529,B75152,-37.15858,175.55137,3,H,N/A
White Island Aws,31828,B77511,-37.51668,177.17732,314,H,Metservice
Thornbury,31912,I68202,-46.291,168.096,20,G,N/A
"Wairau Valley, Mill Road Cws",36106,G13543,-41.572,173.497,172,G,Niwa
Hakataramea Valley Cws,36209,H40661,-44.635,170.647,355,G,Niwa
Waiouru Treatment Plant,3629,E95464,-39.46249,175.66283,806,H,N/A
Alexandra Cws,36592,I5923B,-45.25366,169.39205,140,H,Niwa
"Methven, Three Springs Cws",37920,H31656,-43.67767,171.5884,305,H,Niwa
Waipara North Branch At Langs Gully Cws,38730,H22942,-42.938,172.422,560,G,Niwa
Dorie Cws At Riverstone,38866,H32805,-43.83207,172.09431,55,H,N/A
"West Eyreton, Larundel Farm Cws",39224,H32341,-43.3573,172.43224,88,H,Niwa
"Auckland, Sky Tower",39915,A6487E,-36.85004,174.76242,342,H,Niwa
Ashcott Road Cws,40280,D96932,-39.95757,176.37974,212,H,Niwa
Milford Sound,4107,F47691,-44.67384,167.92406,3,H,N/A
Wakanui 2 Cws,41200,H31986,-43.97167,171.81097,53,H,Niwa
Stephens Island,4153,G04601,-40.666,174.001,187,G,N/A
Queenstown,5446,I58061,-45.03476,168.66364,322,H,N/A
Tapanui,5686,I59921,-45.944,169.257,180,G,N/A
Winton 2,5768,I68133,-46.157,168.328,44,G,N/A
"Balclutha,Finegand",5867,I69273,-46.273,169.739,6,G,N/A
Invercargill Aero 2 Ews,12444,I68437,-46.41727,168.33045,0,H,Niwa
Invercargill Aero,5814,I68433,-46.41741,168.33052,1,H,N/A
Ngamatea Station 2,2964,D96412,-39.408,176.13,885,G,N/A
Mohaka Forest,3115,D97004,-39.069,177.023,286,G,N/A
Palmerston N Kairanga,3232,E05343,-40.342,175.468,15,G,N/A
Wanaka,5223,I49711,-44.705,169.146,314,G,N/A
Burwood Bush,5475,I58502,-45.571,168.071,490,G,N/A
Whakatane Aero,1672,B76994,-37.92644,176.91807,6,H,N/A
East Cape Aws,2710,D78752,-37.693,178.544,19,G,Metservice
Waikaremoana Onepoto,2832,D87811,-38.801,177.122,643,G,Niwa/Ecnz
Tuai,2833,D87812,-38.809,177.15,274,G,N/A
"Fairlie,Riverview Tce",4992,H40183,-44.101,170.833,304,G,N/A
Marsden Power Stn,1303,A54842,-35.878,174.47,3,G,N/A
